Size, Proteins
2,37866,16713
2,57357,16572
2,101433,16571
2,26254,16524
2,110339,16523
2,99671,16522
2,95672,16520
2,100510,16327
2,43493,15895
2,58101,15824
2,18925,15267
2,19747,15219
2,267243,15178
2,52637,15060
2,69221,15059
2,72731,14838
2,64297,14835
2,60046,14829
2,24679,14778
2,116682,14729
2,274482,14263
2,43267,14213
2,58192,14073
2,32397,13923
2,49748,13872
2,33800,13835
2,29196,13833
2,13749,13748
2,35998,13553
2,14386,13550
2,19781,13434
2,18190,13394
2,13333,13332
2,76602,13042
2,103628,12998
2,12973,12918
2,12971,12915
2,68036,12854
2,127818,12721
2,73047,12575
2,114552,12313
2,181319,12281
2,270181,12251
2,69671,12164
2,19441,12085
2,329242,11843
2,68676,11829
2,12412,11828
2,70362,11677
2,50064,11673
2,227776,11654
2,11611,11610
2,99492,11515
2,33632,11089
2,10888,10885
2,16497,10808
2,43800,10387
2,124819,10174
2,64407,10147
2,48491,10143
2,71275,10136
2,76213,10132
2,26589,9211
2,262981,9122
2,270065,9119
2,127353,9095
2,128885,8961
2,83532,8868
2,22499,8771
2,46708,8753
2,89152,8751
2,45133,8732
2,57755,8708
2,302686,8659
2,361819,8236
2,121305,8147
2,40132,8082
2,56379,8000
2,33610,7933
2,45966,7756
2,373025,7712
2,199081,7631
2,17517,7467
2,33325,7374
2,31233,7309
2,30078,7303
2,70762,7279
2,269024,7175
2,132037,6876
2,32025,6807
2,53971,6426
2,76023,6313
2,21486,6296
2,124676,6208
2,123644,6201
2,17815,5994
2,21619,5991
2,56087,5810
2,50105,5538
2,14982,5311
2,10374,5085
2,115392,5007
2,97647,5004
2,50402,4964
2,56405,4915
2,130397,4765
2,85452,4746
2,54192,4745
2,54464,4724
2,42143,4703
2,32309,4683
2,54020,4597
2,54019,4595
2,4358,4357
2,267705,4300
2,69458,4137
2,269008,4076
2,33399,4044
2,179010,4009
2,72597,3982
2,50629,3969
2,16854,3789
2,61306,3279
2,76334,3227
